player_name,team,conf,gp,min_per,o_rtg,usg,e_fg,ts_per,orb_per,drb_per,ast_per,to_per,ftm,fta,ft_per,two_pm,two_pa,two_p_per,tpm,tpa,tp_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,hometown,rec_rank,ast_tov,rim_made,rim_attempted,mid_made,mid_attempted,rim_pct,mid_pct,dunks_made,dunks_attempted,dunk_pct,pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,player_type,coag,dob
Antwann Jones,UNC Greensboro,SC,6,4.6,75.2,19.2,37.5,38.35,7.8,18.0,6.2,25.7,1,2,0.5,3,10,0.3,2,6,0.333,2.1,2.0,12.5,Sr,6-6,0,-0.638992,73.0017,4.1,2026,65925,"Orlando, FL",79.0,0.50005835,2.0,5.0,1.0,5.0,0.4,0.2,0.0,0.0,,,115.683,115.25,0.630707,10.8614,-9.16745,-7.25442,-1.91304,-8.87525,11.4857,-5.77519,-3.10006,0.5714,1.5714,2.1429,0.4286,0.2857,0.1429,3.4286,Wing F,5.8505,1999-05-29
Elijah Elliott,New Mexico St.,CUSA,29,46.9,101.6,26.7,41.9,47.79,1.8,10.0,25.8,14.9,63,81,0.778,40,111,0.36,35,110,0.318,1.1,2.2,36.7,Sr,6-1,11,1.10682,109.105,3.1,2026,67572,"Houston, TX",,1.73166481,16.0,34.0,24.0,77.0,0.4706,0.3117,0.0,0.0,,,109.822,110.481,1.54019,88.5456,-1.04643,0.328296,-1.37472,-0.00968558,18.6323,0.667308,-0.676993,0.2903,1.6452,1.9355,2.2903,0.7419,0.1613,8.2581,Scoring PG,11.8498,1999-10-15
Doctor Bradley,Bethune Cookman,SWAC,8,14.0,103.4,30.0,55.2,54.04,8.7,29.3,28.0,17.0,21,44,0.477,34,60,0.567,2,7,0.286,5.1,3.2,65.7,Sr,6-8,13,1.27105,109.0,3.9,2026,70326,"Los Angeles, CA",,1.375,32.0,51.0,2.0,9.0,0.6275,0.2222,5.0,7.0,0.7143,,97.5289,106.252,2.09816,46.4699,5.5064,0.762685,4.74371,5.69879,22.0375,1.76229,3.9365,1.625,5.875,7.5,2.75,1.25,1.125,11.875,PF/C,2.23708,2000-10-15
Rahmir Moore,Delaware St.,MEAC,22,43.6,97.9,18.4,43.4,49.99,5.3,10.8,10.5,16.6,43,59,0.729,24,57,0.421,17,57,0.298,0.5,1.4,51.8,Sr,6-2,0,-0.0990838,90.7906,2.6,2026,70501,"Philadelphia, PA",,1.16006237,16.0,31.0,8.0,26.0,0.5161,0.3077,1.0,1.0,1.0,,110.862,118.679,1.15194,65.9799,-4.99959,-2.99482,-2.00477,-4.65703,21.3038,-2.5358,-2.12123,1.1154,1.6538,2.7692,1.1154,0.4615,0.0769,6.5769,Wing G,7.25452,2000-07-26
Alex Hemenway,Evansville,MVC,30,65.8,93.4,14.3,43.3,46.48,1.2,7.7,6.3,9.9,27,33,0.818,13,38,0.342,47,155,0.303,0.5,0.9,17.1,Sr,6-4,12,-0.344758,88.3459,2.5,2026,70621,"Newburgh, IN",24.0,1.42101717,9.0,22.0,4.0,16.0,0.4091,0.25,1.0,1.0,1.0,,120.301,118.888,1.39179,102.864,-4.40745,-1.49714,-2.91031,-4.98832,25.8969,-2.7656,-2.22271,0.3125,1.625,1.9375,0.8438,0.375,0.0938,6.7188,Combo G,11.5599,2001-06-17
Addison Patterson,Eastern Michigan,MAC,30,74.8,109.6,23.5,59.1,60.62,5.1,14.7,18.9,19.7,48,67,0.716,152,238,0.639,20,70,0.286,1.2,2.2,21.8,Sr,6-7,9,2.18877,113.205,3.6,2026,70754,"Mississauga, Canada",,1.14085497,121.0,170.0,31.0,68.0,0.7118,0.4559,28.0,30.0,0.9333,,107.198,107.067,2.80799,162.41,1.95909,0.878582,1.08051,2.20054,29.7258,1.30101,0.899526,1.3871,3.9355,5.3226,2.6129,1.0968,0.3226,13.7097,Wing G,4.54603,2001-06-09
Rienk Mast,Nebraska,B10,31,69.4,112.4,25.9,51.7,55.04,9.3,13.7,19.9,13.9,63,77,0.818,108,200,0.54,47,145,0.324,1.2,0.9,22.3,Sr,6-10,51,3.25186,124.818,2.4,2026,70772,"Groningen, Netherlands",,1.66668578,64.0,93.0,44.0,107.0,0.6882,0.4112,2.0,2.0,1.0,,101.472,95.0628,3.88402,147.763,5.27609,2.94444,2.33166,4.7867,28.8903,3.19673,1.58997,2.2258,3.5484,5.7742,2.9032,0.4194,0.2581,13.5484,Stretch 4,9.69102,2001-07-19
Rick Issanza,Loyola Marymount,WCC,29,37.9,104.9,10.2,65.3,58.41,9.5,14.5,2.9,22.9,11,32,0.344,32,48,0.667,0,1,0.0,9.6,1.1,65.3,Sr,7-1,22,0.00435731,92.1962,5.0,2026,70789,"Kinshasa, Congo, the Democratic Republic of the",1.8,0.42112742,28.0,38.0,4.0,10.0,0.7368,0.4,21.0,24.0,0.875,,103.341,101.662,1.82443,92.9374,2.60325,-3.01526,5.61851,0.176223,16.25,-3.28144,3.45766,1.3,2.0667,3.3667,0.2667,0.3333,1.4333,2.6333,C,0.123106,2000-10-15
Steele Venters,Gonzaga,WCC,27,30.7,113.2,15.1,54.4,55.97,1.4,7.9,9.9,15.7,10,12,0.833,8,16,0.5,36,98,0.367,0.6,2.4,10.5,Sr,6-7,2,0.826641,108.007,3.3,2026,70941,"Ellensburg, WA",,1.64707745,6.0,8.0,2.0,8.0,0.75,0.25,2.0,2.0,1.0,,97.304,94.035,2.08546,71.397,3.82762,1.77696,2.05066,3.14793,15.063,0.422299,2.72563,0.1852,1.1111,1.2963,1.037,0.6296,0.0741,4.963,Wing G,13.6503,2001-05-16
Micah Thomas,Northwestern St.,Slnd,30,76.4,103.2,30.2,47.1,54.3,1.2,6.6,22.5,16.1,129,140,0.921,116,266,0.436,46,127,0.362,0.5,1.5,35.6,Sr,6-0,5,2.44548,115.173,2.4,2026,70961,"Oklahoma City, OK",,1.17810805,35.0,80.0,81.0,186.0,0.4375,0.4355,0.0,0.0,,,115.665,117.964,1.71363,119.881,-3.83935,-0.293899,-3.54545,-1.07119,30.2031,1.29948,-2.37067,0.3125,1.6562,1.9688,2.6875,0.9062,0.125,16.75,Scoring PG,8.4363,2000-10-15
