Bracket Simulation Report (10000 simulations)
=====================================================================================

Injuries/Exclusions:
  Texas Tech: JT Toppin

Team                   |   R64 |   R32 |   S16 |    E8 |    F4 | Champ | E[Wins]
-------------------------------------------------------------------------------------
Michigan               | 100.0 |  99.8 |  79.5 |  59.1 |  41.9 |  18.1 |    3.25
Duke                   | 100.0 |  99.9 |  80.0 |  55.3 |  37.7 |  14.2 |    3.09
Arizona                | 100.0 |  99.6 |  87.1 |  54.2 |  32.7 |  10.0 |    3.04
Florida                | 100.0 |  99.4 |  71.2 |  48.1 |  29.0 |   7.5 |    2.71
Illinois               | 100.0 |  99.3 |  74.6 |  48.4 |  22.8 |   5.4 |    2.61
Purdue                 | 100.0 |  97.9 |  68.4 |  41.2 |  18.7 |   5.2 |    2.41
Houston                | 100.0 |  98.6 |  69.9 |  37.9 |  18.6 |   4.8 |    2.40
Michigan St.           | 100.0 |  96.3 |  62.4 |  35.4 |  17.9 |   4.4 |    2.26
Connecticut            | 100.0 |  98.7 |  65.1 |  35.9 |  19.4 |   3.6 |    2.32
Vanderbilt             | 100.0 |  94.1 |  57.0 |  26.5 |  13.7 |   3.5 |    2.03
Alabama                | 100.0 |  91.8 |  59.8 |  25.1 |  13.6 |   3.0 |    1.99
Iowa St.               | 100.0 |  97.7 |  66.5 |  33.3 |  13.4 |   3.0 |    2.20
Kansas                 | 100.0 |  87.2 |  50.5 |  17.8 |   8.9 |   2.0 |    1.70
North Carolina         | 100.0 |  79.1 |  42.6 |  22.5 |  11.1 |   1.9 |    1.62
Nebraska               | 100.0 |  93.6 |  51.5 |  26.9 |  12.8 |   1.9 |    1.92
Louisville             | 100.0 |  80.0 |  50.5 |  22.5 |  11.3 |   1.6 |    1.71
Gonzaga                | 100.0 |  96.2 |  55.0 |  24.6 |   9.4 |   1.5 |    1.90
Arkansas               | 100.0 |  86.0 |  40.2 |  16.1 |   7.4 |   1.3 |    1.55
Texas Tech             | 100.0 |  91.5 |  46.4 |  14.1 |   6.5 |   1.1 |    1.62
Wisconsin              | 100.0 |  62.2 |  25.7 |  12.0 |   4.6 |   0.8 |    1.08
St. John's             | 100.0 |  58.6 |  28.2 |  12.1 |   4.7 |   0.6 |    1.06
BYU                    | 100.0 |  69.2 |  25.2 |  11.6 |   3.7 |   0.6 |    1.11
Tennessee              | 100.0 |  84.9 |  36.6 |  11.9 |   5.1 |   0.6 |    1.41
Virginia               | 100.0 |  89.2 |  41.5 |  15.0 |   6.1 |   0.6 |    1.54
Ohio St.               | 100.0 |  60.6 |  14.3 |   6.5 |   2.8 |   0.5 |    0.86
Georgia                | 100.0 |  65.3 |  19.1 |   7.8 |   2.3 |   0.3 |    0.95
Kentucky               | 100.0 |  56.6 |  20.8 |   8.0 |   2.3 |   0.2 |    0.89
Miami FL               | 100.0 |  51.6 |  15.7 |   5.6 |   1.7 |   0.2 |    0.75
Iowa                   | 100.0 |  53.0 |  19.1 |   7.5 |   2.8 |   0.2 |    0.84
Texas A&M              | 100.0 |  47.0 |  15.8 |   6.1 |   2.1 |   0.2 |    0.72
N.C. State             | 100.0 |  47.4 |  13.2 |   6.1 |   2.3 |   0.2 |    0.70
UCLA                   | 100.0 |  52.6 |  15.7 |   7.1 |   2.7 |   0.2 |    0.79
Saint Mary's           | 100.0 |  52.9 |  11.3 |   4.4 |   1.5 |   0.1 |    0.71
Utah St.               | 100.0 |  48.4 |  14.4 |   5.0 |   1.5 |   0.1 |    0.70
Santa Clara            | 100.0 |  41.4 |  16.5 |   5.5 |   1.5 |   0.1 |    0.65
SMU                    | 100.0 |  37.8 |  11.7 |   4.1 |   1.1 |   0.1 |    0.55
Missouri               | 100.0 |  43.4 |  12.6 |   4.0 |   0.8 |   0.1 |    0.61
Clemson                | 100.0 |  39.4 |   6.2 |   2.2 |   0.8 |   0.1 |    0.49
Saint Louis            | 100.0 |  34.7 |   6.3 |   1.7 |   0.4 |   0.0 |    0.43
Villanova              | 100.0 |  47.1 |   8.7 |   3.1 |   1.1 |   0.0 |    0.60
TCU                    | 100.0 |  73.2 |  11.3 |   2.9 |   0.7 |   0.0 |    0.88
UCF                    | 100.0 |  30.8 |   6.2 |   1.9 |   0.3 |   0.0 |    0.39
VCU                    | 100.0 |  20.9 |   5.3 |   1.1 |   0.2 |   0.0 |    0.28
Troy                   | 100.0 |   3.9 |   0.2 |   0.0 |   0.0 |   0.0 |    0.04
Hofstra                | 100.0 |   5.9 |   0.8 |   0.0 |   0.0 |   0.0 |    0.07
