Team,R64,R32,S16,E8,F4,Championship,Champion,E[Wins]
Michigan,100.0,99.8,79.49000000000001,59.14,41.870000000000005,26.35,18.14,3.2479
Duke,100.0,99.85000000000001,79.97,55.269999999999996,37.71,21.86,14.23,3.0889
Arizona,100.0,99.61,87.07000000000001,54.17999999999999,32.73,20.0,9.99,3.0358
Florida,100.0,99.41,71.15,48.1,28.999999999999996,15.6,7.51,2.7077
Illinois,100.0,99.29,74.63,48.35,22.770000000000003,10.81,5.43,2.6128
Purdue,100.0,97.85000000000001,68.39,41.22,18.67,10.03,5.16,2.4132
Houston,100.0,98.57000000000001,69.86,37.85,18.62,10.100000000000001,4.81,2.3980999999999995
Michigan St.,100.0,96.33,62.35000000000001,35.43,17.89,9.790000000000001,4.42,2.2621
Connecticut,100.0,98.71,65.09,35.91,19.45,9.06,3.5999999999999996,2.3181999999999996
Vanderbilt,100.0,94.13,57.02,26.5,13.65,7.670000000000001,3.55,2.0252
Alabama,100.0,91.82000000000001,59.760000000000005,25.06,13.63,5.9799999999999995,3.02,1.9927000000000001
Iowa St.,100.0,97.65,66.51,33.33,13.43,6.34,2.9899999999999998,2.2025
Kansas,100.0,87.19,50.519999999999996,17.79,8.92,3.8,1.97,1.7019
North Carolina,100.0,79.06,42.6,22.48,11.08,4.79,1.8900000000000001,1.6189999999999998
Nebraska,100.0,93.63,51.5,26.85,12.75,5.319999999999999,1.87,1.9191999999999996
Louisville,100.0,79.96,50.519999999999996,22.5,11.28,4.65,1.6,1.7051
Gonzaga,100.0,96.15,55.03,24.62,9.370000000000001,3.62,1.49,1.9028
Arkansas,100.0,86.0,40.239999999999995,16.07,7.42,3.63,1.3,1.5466
Texas Tech,100.0,91.5,46.36,14.14,6.529999999999999,2.65,1.0999999999999999,1.6227999999999998
Wisconsin,100.0,62.17,25.679999999999996,12.04,4.58,2.2399999999999998,0.8099999999999999,1.0752
St. John's,100.0,58.64,28.22,12.120000000000001,4.65,1.55,0.61,1.0579
BYU,100.0,69.19,25.169999999999998,11.559999999999999,3.6700000000000004,1.28,0.6,1.1146999999999998
Tennessee,100.0,84.89,36.58,11.88,5.050000000000001,1.78,0.59,1.4077
Virginia,100.0,89.18,41.46,14.979999999999999,6.08,2.1999999999999997,0.59,1.5449
Ohio St.,100.0,60.589999999999996,14.34,6.52,2.79,1.13,0.48,0.8585
Georgia,100.0,65.28,19.05,7.779999999999999,2.3,0.67,0.29,0.9537000000000001
Kentucky,100.0,56.599999999999994,20.76,7.969999999999999,2.26,0.69,0.24,0.8851999999999999
Miami FL,100.0,51.59,15.690000000000001,5.57,1.69,0.63,0.22,0.7539
Iowa,100.0,52.980000000000004,19.11,7.53,2.8000000000000003,0.96,0.21,0.8359000000000002
Texas A&M,100.0,47.02,15.770000000000001,6.08,2.0500000000000003,0.64,0.2,0.7175999999999999
N.C. State,100.0,47.44,13.18,6.09,2.33,0.72,0.19,0.6994999999999999
UCLA,100.0,52.559999999999995,15.65,7.1,2.7199999999999998,0.8200000000000001,0.19,0.7903999999999999
Saint Mary's,100.0,52.92,11.35,4.390000000000001,1.52,0.37,0.13999999999999999,0.7069000000000001
Utah St.,100.0,48.41,14.37,4.99,1.51,0.53,0.13,0.6993999999999999
Santa Clara,100.0,41.36,16.509999999999998,5.47,1.5,0.31,0.12,0.6527
SMU,100.0,37.830000000000005,11.67,4.1000000000000005,1.15,0.36,0.11,0.5522000000000001
Missouri,100.0,43.4,12.6,3.9699999999999998,0.79,0.18,0.05,0.6099
Clemson,100.0,39.410000000000004,6.15,2.23,0.76,0.19,0.05,0.48790000000000006
Saint Louis,100.0,34.72,6.260000000000001,1.6500000000000001,0.38,0.11,0.04,0.43160000000000004
Villanova,100.0,47.08,8.68,3.11,1.09,0.22,0.03,0.6021
TCU,100.0,73.22,11.34,2.87,0.7100000000000001,0.16999999999999998,0.02,0.8832999999999999
UCF,100.0,30.81,6.15,1.94,0.29,0.08,0.01,0.39280000000000004
VCU,100.0,20.94,5.319999999999999,1.1400000000000001,0.19,0.04,0.01,0.27640000000000003
Troy,100.0,3.85,0.24,0.01,0.0,0.0,0.0,0.041
Hofstra,100.0,5.87,0.77,0.04,0.0,0.0,0.0,0.0668
McNeese St.,100.0,14.000000000000002,1.97,0.19,0.04,0.01,0.0,0.16210000000000002
Utah Valley,100.0,8.18,1.6099999999999999,0.13,0.0,0.0,0.0,0.0992
Siena,100.0,1.29,0.03,0.0,0.0,0.0,0.0,0.0132
UMBC,100.0,0.38999999999999996,0.05,0.0,0.0,0.0,0.0,0.004399999999999999
UC Irvine,100.0,6.370000000000001,0.58,0.01,0.0,0.0,0.0,0.06960000000000001
Howard,100.0,0.2,0.02,0.0,0.0,0.0,0.0,0.0022
Yale,100.0,15.110000000000001,2.0500000000000003,0.16,0.03,0.0,0.0,0.17350000000000002
Queens,100.0,0.59,0.02,0.0,0.0,0.0,0.0,0.0060999999999999995
Northern Iowa,100.0,12.809999999999999,2.44,0.11,0.01,0.0,0.0,0.15369999999999998
South Florida,100.0,20.04,6.890000000000001,1.17,0.27,0.06999999999999999,0.0,0.28439999999999993
Miami OH,100.0,26.779999999999998,1.54,0.15,0.01,0.0,0.0,0.2848
High Point,100.0,8.5,0.6799999999999999,0.06999999999999999,0.01,0.0,0.0,0.09260000000000002
North Dakota St.,100.0,3.6700000000000004,0.3,0.01,0.0,0.0,0.0,0.03980000000000001
Tennessee St.,100.0,0.7100000000000001,0.06,0.0,0.0,0.0,0.0,0.0077
Sam Houston St.,100.0,10.82,1.13,0.06,0.0,0.0,0.0,0.12010000000000001
LIU,100.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0015
Furman,100.0,1.43,0.08,0.01,0.0,0.0,0.0,0.0152
Wright St.,100.0,2.15,0.29,0.01,0.0,0.0,0.0,0.024499999999999997
Idaho,100.0,2.35,0.13,0.0,0.0,0.0,0.0,0.0248
