Team,R32,S16,E8,F4,F2,Champ
Duke,100.0,100.0,78.0,59.0,41.0,26.0
Michigan,100.0,100.0,77.0,50.0,31.0,18.0
Arizona,100.0,100.0,72.0,49.0,27.0,14.0
Iowa St.,100.0,100.0,67.0,32.0,17.0,8.0
Illinois,100.0,100.0,50.0,34.0,16.0,8.0
Houston,100.0,100.0,50.0,34.0,15.0,7.0
Purdue,100.0,100.0,74.0,32.0,13.0,5.0
UConn,100.0,100.0,52.0,16.0,7.0,3.0
Michigan St.,100.0,100.0,48.0,14.0,6.0,2.0
Nebraska,100.0,100.0,58.0,20.0,7.0,2.0
St. John's,100.0,100.0,22.0,10.0,4.0,1.0
Arkansas,100.0,100.0,28.0,13.0,4.0,1.0
Tennessee,100.0,100.0,33.0,10.0,4.0,1.0
Iowa,100.0,100.0,42.0,12.0,3.0,0.5
Alabama,100.0,100.0,23.0,8.0,3.0,0.5
Texas,100.0,100.0,26.0,6.0,1.0,0.5
