Team,R32_Torvik,R32_Miya,R32_KenPom,R32_Consensus,S16_Torvik,S16_Miya,S16_KenPom,S16_Consensus,E8_Torvik,E8_Miya,E8_KenPom,E8_Consensus,F4_Torvik,F4_Miya,F4_KenPom,F4_Consensus,Championship_Torvik,Championship_Miya,Championship_KenPom,Championship_Consensus,Champion_Torvik,Champion_Miya,Champion_KenPom,Champion_Consensus
Michigan,98.5,99.7,99.47,99.22,86.7,92.0,88.11,88.94,66.7,82.8,70.71,73.4,47.4,64.2,49.87,53.82,30.0,41.0,30.74,33.91,17.8,26.5,18.39,20.9
Duke,98.4,99.6,99.1,99.03,83.9,88.1,85.26,85.75,66.5,71.4,68.97,68.96,50.9,56.1,52.81,53.27,32.7,35.6,35.28,34.53,20.1,19.0,21.35,20.15
Arizona,98.9,99.3,99.6,99.27,83.4,89.8,85.59,86.26,64.1,74.2,68.65,68.98,44.5,53.3,49.45,49.08,26.3,30.0,29.98,28.76,15.0,18.0,17.95,16.98
Florida,99.1,99.7,99.8,99.53,79.4,86.7,77.82,81.31,56.4,66.6,53.29,58.76,32.3,41.0,30.23,34.51,17.7,22.7,15.67,18.69,9.3,11.2,7.6,9.37
Houston,96.2,99.4,96.89,97.5,76.0,82.2,73.39,77.2,45.1,54.5,43.64,47.75,25.9,29.6,25.05,26.85,13.7,15.6,12.8,14.03,6.8,6.7,6.1,6.53
Purdue,97.2,99.7,97.62,98.17,77.5,84.3,74.73,78.84,52.2,58.8,46.71,52.57,25.5,26.0,20.88,24.13,11.7,11.2,9.46,10.79,5.3,4.8,4.25,4.78
Iowa St.,97.8,98.6,98.43,98.28,75.4,80.2,75.59,77.06,48.7,53.2,49.66,50.52,22.3,19.2,23.18,21.56,11.4,8.0,11.38,10.26,5.2,3.2,5.4,4.6
Illinois,96.3,99.1,96.97,97.46,76.2,85.1,75.45,78.92,41.5,37.9,40.78,40.06,22.7,17.4,22.26,20.79,11.6,7.5,10.76,9.95,5.6,2.6,4.82,4.34
Connecticut,96.1,96.4,95.83,96.11,68.2,74.0,65.89,69.36,39.2,42.6,35.51,39.1,14.8,14.4,12.91,14.04,6.1,5.6,5.38,5.69,2.4,1.7,1.91,2.0
Michigan St.,90.4,93.3,91.6,91.77,53.5,62.7,57.41,57.87,28.0,34.7,32.84,31.85,9.9,11.7,12.14,11.25,3.6,4.5,5.19,4.43,1.3,1.4,1.85,1.52
Gonzaga,93.7,96.8,96.34,95.61,65.7,74.4,63.35,67.82,30.2,30.6,31.59,30.8,11.5,10.2,11.79,11.16,4.3,2.9,4.47,3.89,1.6,0.9,1.68,1.39
Virginia,92.2,94.9,93.03,93.38,52.0,55.1,53.11,53.4,23.2,23.6,23.1,23.3,8.0,6.7,7.8,7.5,3.1,2.3,2.84,2.75,1.1,0.8,1.0,0.97
St. John's,82.3,85.3,79.78,82.46,49.5,55.1,46.54,50.38,14.9,15.7,12.73,14.44,7.5,8.9,6.21,7.54,2.7,3.6,2.29,2.86,1.0,1.0,0.7,0.9
Vanderbilt,84.2,85.7,82.24,84.05,50.5,51.5,46.37,49.46,19.9,16.3,18.95,18.38,8.0,5.8,7.95,7.25,3.2,1.7,3.03,2.64,1.1,0.5,1.04,0.88
Arkansas,89.1,95.3,90.7,91.7,50.4,67.0,56.34,57.91,15.4,16.2,15.97,15.86,6.7,6.1,7.2,6.67,2.2,1.6,2.38,2.06,0.6,0.4,0.78,0.59
Nebraska,91.9,86.9,92.52,90.44,45.0,43.2,48.59,45.6,15.3,11.8,18.5,15.2,5.3,3.5,7.26,5.35,1.8,0.9,2.58,1.76,0.6,0.2,0.81,0.54
Tennessee,76.1,76.9,73.13,75.38,40.2,38.1,37.68,38.66,17.5,14.9,15.83,16.08,6.0,3.3,5.15,4.82,2.3,0.9,1.8,1.67,0.8,0.2,0.6,0.53
Texas Tech,83.1,67.0,78.15,76.08,48.8,24.1,42.03,38.31,15.8,2.9,11.27,9.99,7.5,0.9,4.73,4.38,3.0,0.2,1.58,1.59,1.0,0.0,0.51,0.5
Alabama,85.7,85.9,84.93,85.51,44.4,64.1,49.02,52.51,12.7,10.4,12.83,11.98,5.4,3.9,5.48,4.93,1.9,0.9,1.82,1.54,0.6,0.3,0.59,0.5
Louisville,74.5,70.6,72.44,72.51,37.9,27.8,33.95,33.22,18.9,11.8,17.21,15.97,6.0,2.2,5.25,4.48,2.1,0.4,1.88,1.46,0.7,0.1,0.55,0.45
Kansas,85.4,92.4,86.71,88.17,43.2,40.4,45.52,43.04,11.2,8.0,11.43,10.21,5.1,3.7,5.13,4.64,1.6,0.9,1.73,1.41,0.5,0.2,0.48,0.39
Wisconsin,84.8,74.4,83.23,80.81,45.1,27.7,39.22,37.34,13.5,5.2,9.3,9.33,5.7,1.7,3.64,3.68,1.8,0.3,1.01,1.04,0.6,0.1,0.28,0.33
UCLA,70.2,71.2,65.62,69.01,25.4,21.0,25.25,23.88,10.5,7.1,9.95,9.18,2.7,1.0,2.46,2.05,0.8,0.2,0.71,0.57,0.3,0.0,0.17,0.16
Ohio St.,68.4,63.9,61.08,64.46,12.8,7.9,10.47,10.39,5.8,3.4,4.75,4.65,2.3,1.3,1.91,1.84,0.6,0.3,0.57,0.49,0.2,0.1,0.14,0.15
Saint Mary's,59.7,62.7,60.72,61.04,15.4,13.5,18.15,15.68,5.1,4.5,6.69,5.43,1.6,1.2,2.25,1.68,0.5,0.3,0.68,0.49,0.1,0.1,0.17,0.12
Iowa,53.9,60.2,57.1,57.07,11.7,8.5,14.16,11.45,4.8,3.4,5.88,4.69,1.3,0.8,1.89,1.33,0.4,0.2,0.54,0.38,0.1,0.0,0.13,0.08
North Carolina,63.4,46.6,58.98,56.33,16.8,6.1,15.83,12.91,4.8,0.6,4.76,3.39,1.4,0.1,1.37,0.96,0.4,0.0,0.34,0.25,0.1,0.0,0.07,0.06
Kentucky,48.4,61.7,55.28,55.13,11.4,13.6,14.48,13.16,4.0,5.0,5.85,4.95,0.9,0.6,1.35,0.95,0.2,0.1,0.34,0.21,0.1,0.0,0.09,0.06
Miami FL,57.2,66.7,62.54,62.15,13.7,12.2,17.67,14.52,5.2,4.5,6.68,5.46,1.2,0.8,1.51,1.17,0.3,0.1,0.34,0.25,0.1,0.0,0.08,0.06
BYU,54.6,48.5,59.77,54.29,19.3,12.3,23.78,18.46,5.7,2.8,9.21,5.9,1.4,0.5,2.49,1.46,0.3,0.0,0.68,0.33,0.0,0.0,0.19,0.06
Utah St.,53.8,58.4,51.9,54.7,9.3,7.2,7.54,8.01,3.8,3.0,3.13,3.31,1.2,0.9,1.06,1.05,0.3,0.1,0.25,0.22,0.1,0.0,0.06,0.05
Santa Clara,51.6,38.3,44.72,44.87,13.0,6.1,9.82,9.64,4.8,1.9,3.52,3.41,1.1,0.2,0.68,0.66,0.3,0.0,0.15,0.15,0.1,0.0,0.03,0.04
Villanova,46.2,41.6,48.11,45.3,7.2,3.0,6.85,5.68,2.8,1.0,2.72,2.17,0.8,0.2,0.88,0.63,0.2,0.0,0.2,0.13,0.0,0.0,0.05,0.02
Saint Louis,45.9,48.3,44.25,46.15,5.7,4.0,4.57,4.76,1.6,1.5,1.59,1.56,0.4,0.4,0.42,0.41,0.1,0.0,0.09,0.06,0.0,0.0,0.02,0.01
Clemson,46.1,39.8,42.9,42.93,8.8,4.8,8.02,7.21,3.1,1.6,2.76,2.49,0.8,0.3,0.72,0.61,0.2,0.0,0.17,0.12,0.0,0.0,0.03,0.01
Georgia,54.1,51.7,55.76,53.85,7.5,4.0,7.29,6.26,2.5,1.8,2.91,2.4,0.7,0.5,0.9,0.7,0.2,0.1,0.21,0.17,0.0,0.0,0.04,0.01
N.C. State,26.1,24.8,20.94,23.95,8.5,5.5,6.61,6.87,2.3,1.0,2.04,1.78,0.6,0.1,0.43,0.38,0.1,0.0,0.09,0.06,0.0,0.0,0.02,0.01
Texas,19.3,26.7,19.3,21.77,5.6,7.5,5.96,6.35,1.4,1.5,1.81,1.57,0.3,0.2,0.36,0.29,0.0,0.0,0.07,0.02,0.0,0.0,0.02,0.01
Texas A&M,40.3,37.3,39.28,38.96,8.1,4.3,8.11,6.84,2.1,0.9,2.18,1.73,0.5,0.2,0.52,0.41,0.1,0.0,0.11,0.07,0.0,0.0,0.02,0.01
Tennessee St.,2.2,1.4,1.57,1.72,0.2,0.1,0.11,0.14,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troy,8.1,13.1,7.49,9.56,0.8,1.4,0.71,0.97,0.0,0.1,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
