Seed,Region,Team,Conf,R64,R32,S16,E8,F4,F2,Champ
1,West,Arizona,B12,✓,✓,✓,76.1,51.4,29.9,17.8
1,Midwest,Michigan,B10,✓,✓,✓,73.8,48.6,28.8,17.4
1,East,Duke,ACC,✓,✓,✓,70.4,48.8,30,16.6
2,South,Houston,B12,✓,✓,✓,54,39.9,22.6,11.6
3,South,Illinois,B10,✓,✓,✓,46,32.5,17.2,8.1
2,West,Purdue,B10,✓,✓,✓,80.3,35.5,16.2,7.7
2,Midwest,Iowa St.,B12,✓,✓,✓,61.5,27.7,13,6.3
2,East,Connecticut,BE,✓,✓,✓,51.8,19.2,8.1,2.9
3,East,Michigan St.,B10,✓,✓,✓,48.2,17.3,7.1,2.5
5,East,St. John's,BE,✓,✓,✓,29.6,14.7,6.1,2.2
4,South,Nebraska,B10,✓,✓,✓,56.9,17.1,6,1.8
6,Midwest,Tennessee,SEC,✓,✓,✓,38.5,13.1,4.8,1.8
4,Midwest,Alabama,SEC,✓,✓,✓,26.2,10.6,3.8,1.3
4,West,Arkansas,SEC,✓,✓,✓,23.9,9.7,3,1
9,South,Iowa,B10,✓,✓,✓,43.1,10.5,3,0.8
11,West,Texas,SEC,✓,✓,✓,19.7,3.4,0.6,0.1
