Team,R64,R32,S16,E8,F4,Championship,Champion,E[Wins]
Duke,100.0,99.82,93.91000000000001,83.77,71.72,55.24,31.19,4.3565
Michigan,100.0,99.86,96.23,85.92,73.15,45.56,28.720000000000002,4.2944
Arizona,100.0,99.87,95.00999999999999,81.75,64.16,36.620000000000005,22.33,3.9974
Florida,100.0,99.89,88.8,60.99,35.25,13.850000000000001,4.51,3.0329
Purdue,100.0,99.6,88.31,65.67,22.919999999999998,8.33,3.42,2.8825
Houston,100.0,99.26,86.24000000000001,53.449999999999996,29.82,10.879999999999999,3.18,2.8283
Illinois,100.0,98.66,77.25,38.09,18.6,5.75,1.37,2.3971999999999998
Iowa St.,100.0,99.48,81.43,51.800000000000004,13.03,3.88,1.21,2.5083
Connecticut,100.0,99.62,76.29,42.29,10.299999999999999,4.21,0.8999999999999999,2.3361
Michigan St.,100.0,97.92999999999999,70.56,39.86,9.33,3.94,0.79,2.2241
Vanderbilt,100.0,93.81,52.629999999999995,20.599999999999998,8.25,2.13,0.49,1.7791
Virginia,100.0,98.71,69.5,33.5,6.49,1.6,0.38,2.1018000000000003
Gonzaga,100.0,98.72,74.11,25.990000000000002,5.59,1.21,0.31,2.0592999999999995
Arkansas,100.0,98.28,61.629999999999995,12.01,4.73,1.11,0.29,1.7805
St. John's,100.0,95.64,56.66,8.98,3.9,1.1900000000000002,0.24,1.6661000000000001
Nebraska,100.0,98.75,46.87,16.27,5.7700000000000005,1.29,0.18,1.6913
Alabama,100.0,96.5,53.510000000000005,7.539999999999999,3.37,0.7100000000000001,0.13999999999999999,1.6177000000000001
Texas Tech,100.0,92.78999999999999,45.73,6.0,2.42,0.38999999999999996,0.1,1.4743
Louisville,100.0,83.87,27.700000000000003,10.96,1.7000000000000002,0.44,0.08,1.2474999999999996
Tennessee,100.0,73.08,26.169999999999998,8.690000000000001,1.06,0.13999999999999999,0.06,1.0919999999999999
Kansas,100.0,94.03,42.61,5.2,1.91,0.61,0.05,1.4441
Wisconsin,100.0,96.22,38.14,5.19,1.6099999999999999,0.33,0.03,1.4152
Kentucky,100.0,56.07,11.18,3.17,0.24,0.04,0.01,0.7070999999999998
Saint Mary's,100.0,71.28999999999999,10.86,2.6100000000000003,0.59,0.06,0.01,0.8542
Ohio St.,100.0,67.08,4.7,1.76,0.48,0.13,0.01,0.7415999999999999
